isinCd,credit_rating,credit_spread,duration_sensitivity,rating_signal,spread_signal,duration_signal,total_score,available_signals,investment_priority
KR381003GD86,,,,,,,0,0,INSUFFICIENT_DATA
KR6000011D31,AA-,0.4260000000000001,,STABLE,NEUTRAL,,1,2,안정성 중심
KR6000011E48,AA-,0.0019999999999997,,STABLE,NEUTRAL,,1,2,안정성 중심
KR6000012C56,AA-,0.2939999999999996,,STABLE,NEUTRAL,,1,2,안정성 중심
KR6000014CA7,AA-,1.343,,STABLE,YIELD,,0,2,균형형
KR6000014F44,AAA,0.0230000000000001,저민감,STABLE,NEUTRAL,STABLE,2,3,안정성 중심
KR6000017F41,AA-,-0.516,,STABLE,STABLE,,2,2,안정성 중심
KR600001AFA9,AAA,-0.2469999999999999,저민감,STABLE,STABLE,STABLE,3,3,안정성 중심
KR6000153E38,BBB+,0.1669999999999998,중간,YIELD,NEUTRAL,NEUTRAL,-1,3,수익률 중심
KR6000153F11,BBB+,0.169,중간,YIELD,NEUTRAL,NEUTRAL,-1,3,수익률 중심
KR6000371C36,AA-,0.970575085557837,,STABLE,YIELD,,0,2,균형형
KR6000371C93,A+,2.25,,NEUTRAL,YIELD,,-1,2,수익률 중심
KR6000371E83,AA-,0.9696606433949349,,STABLE,YIELD,,0,2,균형형
KR6000401A57,BBB+,5.626455167693361,,YIELD,YIELD,,-2,2,수익률 중심
KR6000401BC4,BBB0,4.736000000000001,,YIELD,YIELD,,-2,2,수익률 중심
KR6000401C97,BBB+,4.6666594113620805,,YIELD,YIELD,,-2,2,수익률 중심
KR6000401D70,BBB+,4.6403018480492815,,YIELD,YIELD,,-2,2,수익률 중심
KR6000401DC0,BBB+,4.707467351129363,,YIELD,YIELD,,-2,2,수익률 중심
KR6000401E61,BBB+,4.872944284736482,,YIELD,YIELD,,-2,2,수익률 중심
KR6000401EB0,BBB+,4.159640109514031,,YIELD,YIELD,,-2,2,수익률 중심
KR6000541C56,A-,2.5329999999999995,,NEUTRAL,YIELD,,-1,2,수익률 중심
KR6000541E96,A0,3.204919644079397,,NEUTRAL,YIELD,,-1,2,수익률 중심
KR6000541F38,A-,2.763,,NEUTRAL,YIELD,,-1,2,수익률 중심
KR60007K1G22,BBB+,1.456,중간,YIELD,YIELD,NEUTRAL,-2,3,수익률 중심
KR6000821EA1,A0,1.1140000000000003,저민감,NEUTRAL,YIELD,STABLE,0,3,균형형
KR6000822EA9,A0,1.961,중간,NEUTRAL,YIELD,NEUTRAL,-1,3,수익률 중심
